Title,CompanyDetails,JobDetails,JobDescription,JobSkills
Site Reliability Engineer,"Broadridge · Manila, National Capital Region, Philippines Reposted 1 week ago · 7 applicants",Hybrid Full-time,"About the job
At Broadridge, we've built a culture where the highest goal is to empower others to accomplish more. If you’re passionate about developing your career, while helping others along the way, come join the Broadridge team.

At Broadridge, we've built a culture where the highest goal is to empower others to accomplish more. If you’re passionate about developing your career, while helping others along the way, come join the Broadridge team.

Part of a global team of production experts working in a “Follow the Sun” support model, we’re now looking for a Site Reliability Engineer to join us in Manila. The team ensures smooth operations of the Client’s hosted platforms, guaranteeing the availability, security, integrity, and performance of all systems (24/7). Involved at the very beginning of client projects, the Site Reliability Engineer provides technical expertise and guidance to make sure the proposed solution is fully aligned with production standards and best practices. If you have solid experience in production and enjoy fast-paced environments, also,

Must be willing and open to work in a compressed work schedule as needed, such as 40-hour for 4 days or similar schedule. we’d love to get in touch with you!

Main Responsibilities

Platform Monitoring, Incident management & Level 2 Support

Management of daily operations of client’s hosted platforms, proactive monitoring of Global Systems
Participation in production shift duties to cover APAC, EMEA, and Americas regions
Incident coordination/crisis response & stakeholder communication
Timely resolution of incidents & escalation, preparation of post-mortem, tracking & follow up
Regular review of system’s capacity and performance, initiate upgrades/maintenance as required
Produce daily health checks and customer status reports
Leverage data analytics to anticipate trends and potential challenges

Implementation & Change Management

As a gatekeeper, owns the change control process with clients, partners, and internal teams
Review and deploy customer platforms with the assistance of SRE technical experts
Assess, schedule, and deploy platform enhancements/upgrades and new business features
Improve and automate production tools/scripts (monitoring, failover, checks, backup/recovery…)

Project & Engineering

Manage technical projects (production tools enhancements: monitoring, scripting, deployment tools...)
Run proof of concepts and validate new technical solutions (high availability mechanism, CI/CD pipeline...)
Participate in global efforts to roll out large-scale platforms (client onboarding, low latency solutions, Cloud...)

Skills And Qualifications

Degree in computer science, software engineering, or a related field
Minimum 3 years of experience as “Application Support Engineer” in the financial industry
Excellent analytical / troubleshooting skills with a strong production-oriented mindset
Good general IT knowledge (OS Linux, networking, systems/database, messaging, Cloud...)
Proficient with one or more scripting/programming languages: Perl, Python, Java, Shell...
Knowledge of Agile/DevOps practices, automation tools (Ansible), and CI/CD pipeline
Strong experience with monitoring platforms (Nagios, ITRS...)
Available and willing to go the extra mile (weekend / public holiday operations, Production shifts...)
Familiar with ITIL framework & service management best practices
Must be willing and open to work in a compressed work schedule as needed, such as 40-hour for 4 days or similar schedule. 

Expected Behavior

Committed, self-motivated, and fast learner
Strong team spirit with excellent communication
Proactive, independent, and proven ability to work under pressure
Fluency in English essential

Broadridge associates helped us envision our Connected Workplace, a work model that allows associates around the globe to take advantage of the benefits of both on-site and off-site work to support our clients, one another, and the communities where we live and work. Our Connected Workplace is grounded in the concept of FACS: Flexible, Accountable, Connected, and Supported, which is our commitment to our associates. FACS supports our strong culture and allows us to achieve business goals while supporting meaningful work-life integration for our associates.

We are dedicated to fostering a diverse, equitable, and inclusive environment and committed to providing a workplace that empowers associates to be authentic and bring their best to work. We believe that associates can only do their best when they feel safe, understood, and valued, and we work diligently and collaboratively to ensure Broadridge is a company—and ultimately a community—that recognizes and celebrates diversity in all its dimensions.","Automation
Add,Communication
Add,Computer Science
Add,Proactive Monitoring
Add,Reliability
Add,Site Reliability Engineering
Add,Software Development
Add,Stakeholder Relations
Add,Troubleshooting
Add,"
Principal Software Engineer,"CloudPay · Makati, National Capital Region, Philippines 2 weeks ago · 4 applicants",Hybrid Full-time Director,"About the job
Role Pitch  As a Principal Software Engineer, you will help grow and nurture technology, provide technical guidance to a growing team, set the technical strategy for modules and components of the Cloudpay platform, and utilize your software development experience in developing solutions to meet business problems.

 Key Responsibilities  Daily Duties and Main Responsibilities will include:

Advising Engineering and Product Management on the technical and architectural strategy for components/modules of the Cloudpay platform and ensuring alignment with relevant Product Area(s):
 Includes selecting and providing guidance on the appropriate design methodology (such as object-oriented, function-oriented, component-based) and strategies to be used within a project. 
 Determining design alternatives with trade-off analysis. 
 Technical leadership of architectural and engineering initiatives in a particular product area
Working collaboratively with Agile Teams to understand the business domain and client requirements; drive analysis, architecture/design and development of quality deliverables and technical solutions crossing a broad spectrum of technologies. 
 Designing and building solutions in the context of a legacy platform transitioning to microservice architecture. 
Establishing and upholding code standards and best practices through code reviews and refactoring efforts; identifying improvements to coding and technical standards
Promoting a culture of producing quality products and compliance to quality processes across the team
Identifying and investigating complex platform issues with respect to performance, security, scalability, maintainability and reliability upon deployment; presenting solutions and championing priorities

 Description  Attributes and Experience Required:

Extensive hands-on development experience, minimum of 7 years with a strong foundation in OOP and Design Patterns, Clean code and SOLID principles
Proven experience setting the technical strategy, implementing and tuning enterprise scale applications. 
Strong working knowledge of Java 11/Java 17/JavaEE, Spring framework or Spring boot, Groovy, AngularJS, Vue.js
Familiarity with NodeJS, NestJS/ReactJS Framework, TypeScript, JavaScript, JQuery and RESTful Web-Services
Demonstrable experience in microservice architecture and design patterns, and implementing microservices
Experience working with relational (MySQL/MariaDB/Postgres) AND NoSQL (MongoDB, DynamoDB) database management systems and ability to write complex queries. 
Experience in API-driven development
Experience in application performance tuning and secure coding
Comfortable in engaging with a wide range of roles (juniors, seniors, other stakeholders) to collaborate on solutions and communicate technical ideas
Working knowledge of Agile/Lean practices
Experience in leveraging containerization (Docker/Kubernetes) and developing cloud-native applications
Soft skills needed:
 Strong teamworking and communication skills
 Excellent logical, analytical skills and attention to detail
 Self-starter, able to own, prioritize and plan own workload
 Flexibility in working to tight timescales to meet release deadlines
The following would be an advantage:
 Background in Payroll, HR or other financial domains
 Experience in data modeling, data architecture/engineering

 Benefits  Package and Benefits:

 Competitive annual salary and benefits package
 18 days annual leave plus public holidays
 Earned Wage Access (via CloudPay Now app)
 Flexible remote working
 10 days sick leave
 HMO
 Personal and professional development opportunities
 Friendly working environment","Analytical Skills
Add,Clean Coding
Add,Communication
Add,Design Patterns
Add,Java
Add,Microservices
Add,Object-Oriented Programming (OOP)
Add,Software Design
Add,Spring Framework
Add,Technical Leadership
Add,"
Senior Software Engineer - (Python Back-end Development),"ITRS  · Manila, National Capital Region, Philippines 6 days ago · 0 applicants",Hybrid Full-time Mid-Senior level,"About the job
Recognised as a Great Place to Work, ITRS is an Enterprise SaaS provider with industry-leading solutions. Our prestigious customer base includes 90% of the world's top investment banks. We are backed by leading private equity investors and are rapidly growing.
Our headquarters are in Shoreditch - London's tech hub - with offices in other UK and global locations from the Netherlands to Manila, NYC and Florida. We pride ourselves on a diverse, friendly, dynamic culture - with a focus on internal promotion and developing our people.
Scope of role

As a Senior Software Engineer you will deliver new features in our Opsview product suite, you will report to the Engineering Manager in our Makati office. The Engineering team is a global team with main hubs in Manila, Sweden, Spain, UK and North America.
The Makati office is growing and we are looking for Engineers that want to be part of a successful team building software products and working with the latest technologies. 
As a Senior Software Engineer, you will:

Build software for our Opsview product suite 
Take a lead on user story definition and the production of detailed technical designs 
Develop software and unit tests against those detailed designs 
Take a lead on the production of engineering estimates and timescales
Maintain current technical documentation at the code, design and user levels 
Maintain the software on an ongoing basis
Review others work at design and code stage and provide constructive feedback on how it could be improved 
Partner with our dedicated product support team to help fix customer raised defects 
You have:

5 years experience with Python (Cython) 
Experience working with RDBMS and NoSQL databases (MySQL and CouchDB) 
Experience with Unix/Linux at the command line 
Experience in version control systems like Git 
Experience working in continuous integration environments (Jenkins/Groovy) 
Experience in code profiling and writing unit tests 
Experience improving coding and development practices 
Experience quickly assimilating new technologies and skills 
Experience working within an Agile scrum team 
Our Benefits

Day 1 Health Insurance for you and your dependants
Supplemental Medical Claim
Employee Assistance Programme
Retirement Plan
Flexible Hybrid Working
Enhanced Parental Leave
Life Assurance
Subsidies and Allowances
ITRS Group is an Equal Opportunity employer and Inclusion is part of our everyday life. We celebrate diversity and pride ourselves on providing an environment where all employees can be their authentic selves and have a voice, allowing everyone to contribute equally. We remain committed to advocating inclusion, diversity, and equality into our ITRS family as we grow and enrich our business.
We welcome applications from everyone in the community as we recognise that a diverse workforce is a stronger workforce.","Back-End Web Development
Add,Git
Add,Linux
Add,Opsview
Add,Python (Programming Language)
Add,Software Development
Add,Technical Design
Add,Technical Documentation
Add,Unit Testing
Add,Unix
Add,"
Azure DevOps Engineer,"Cognizant · Manila, National Capital Region, Philippines 2 weeks ago · 15 applicants",On-site Full-time Mid-Senior level,"About the job
Cognizant is looking for an experienced Azure DevOps Engineer for our fast-growing business area. An ideal candidate is someone best problem-solvers, idea-makers, and high-energy individual. If you meet our background requirements and looking for an opportunity to be rewarded for your skills and expertise, is the ideal opportunity for you!

Grade: Senior Associate
Experience Level: Minimum 8 years of Experience.

Job Title: Sr. Azure Cloud Automation InfraDev engineer

Overall 8+ years of experience in Cloud Infrastructure implementation and support
Must have 5+ years of hands-on experience in Infrastructure automation across Infra stacks such as Provisioning, Configuration Management, CI/CD, Config/Secret, Observability.
Must be hands-on expert in Ansible, Chef, Terraform, Helm and DevSecOps development & implementation and DevSecOps tools
Must have Azure Cloud implementation and support experience in large enterprise environment
Must have work experience in large enterprise to develop Cloud automation and Infra-as-Code, orchestrating CI/CD pipeline to provision immutable Cloud Infra & workloads
Must be experienced in implementing and integrating Cloud Ops services for Observability and logging
Must be Microsoft certified DevOps Engineer Expert and Red Hat Certified Specialist in Ansible Automation
Good understanding of security-by-design, secured SDLC and Agile delivery methodology
Must have experience in engaging with global senior stakeholders

Primary Skills:

 Cloud
Terraform/Ansible
Scripting – shell/python
Infra automation

About Cognizant
Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build, and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 185 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us https://twitter.com/Cognizant/","Ansible
Add,Azure DevOps Services
Add,Continuous Integration (CI)
Add,Continuous Integration and Continuous Delivery (CI/CD)
Add,DevOps
Add,Helm (Software)
Add,Microsoft Azure
Add,Python (Programming Language)
Add,Red Hat Linux
Add,Terraform
Add,"
Tableau Developer,"Afni, Inc. · Quezon City, National Capital Region, Philippines 6 days ago · 5 applicants",On-site Full-time,"About the job
Description

Position Purpose:

The Enterprise Intelligence Analyst I is responsible for developing and maintaining standard production dashboard views to help drive efficiency and quality performance. The employee demonstrates a certain degree of creativity and latitude performing a variety of tasks under general supervision. The EI Analyst I will participate in requirements collection, analysis, definition, and documentation activities, assisting in defining and prioritizing content to be included in the Enterprise Data Warehouse. Includes data extraction and transformation. They will also assist in defining, designing, and developing reports and dashboards for all user groups.

Essential Functions and Responsibilities: 

Work with Internal and External business customers and IT resources to analyze dashboard requirements and develop and update standard Enterprise Intelligence views
Participate in requirements collection, analysis, definition, and documentation activities. 
Provide first line support for reporting and portal related issues and enhancement requests . 
Examines and reviews unusual variances. Makes recommendations when applicable for process improvement. 
Ensures timely execution of small scope projects. 
Deliver informal/formal hands-on training for internal departments. 
Tune BI tools to meet the enterprise performance standards. 
Participate regular workload status meeting to define work completed, work in progress and planned and unplanned items
Within the workload planning tool, flush out and document workload requirements, level of effort, capacity and status
Participate in workload planning sessions

Requirements

Minimum Job Requirements (Education, Experience, Skills):

EDUCATION

Associates degree in Information Technology, Mathematics, or related field preferred. 

Experience

2 years experience in working in Business Intelligence and/or Data Warehouse environment
Demonstrated database (SQL) and BI tool (Tableau) experience required. 
Three years of work experience in a process driven environment preferred. 
Proven experience in working with structured data. 

Knowledge Skills & Abilities

Familiar with standard concepts including statistical analysis methods, practices and procedures of management accounting. 
Seeks collaborative solutions to address customer issues. 
Exhibits clear written and verbal communication skills. 
Builds cross functional relationships. 
Can articulate thought process and rationale behind decision making. 
Seeks out new tasks, training and coaching and assimilates feedback to improve performance.","Dashboards
Add,Data Analytics
Add,Data Mining
Add,Data Visualization
Add,Data Warehousing
Add,Databases
Add,SQL
Add,SQL Server Analysis Services (SSAS)
Add,Statistical Analysis
Add,Tableau
Add,"
Sr. Platform Engineer,"SID Global Solutions · Manila, National Capital Region, Philippines 3 weeks ago · 4 applicants",On-site Full-time Mid-Senior level,"About the job
Job Title: Sr. Platform Engineer 
Location: Manila, PH
Experience: 8 - 12 years
Type: Permanent Full-time
Must relocate to PH for Long Term.
Notice Period: 30 days / Immediate Joiner

About SIDGS:
SIDGS is a premium global systems integrator and global implementation partner of Google corporation, providing Digital Solutions & Services to Fortune 500 companies. Our Digital solutions go across following domains: User Experience, CMS, API Management, Microservices, DevOps, Cloud, Service Mesh, Artificial Intelligence, RPA domains.
We create innovative solutions in Digital, API Management, Cloud and DevOps space in partnership with Google. We understand that every business has a unique set of challenges and opportunities and we leverage our unique industry insights, honed through decades of combined experience in the technology sector, to deliver the products, solutions and services necessary to achieve best customer satisfaction and delivering positive impact to the communities.
 Key Skills: 

Kubernetes, DevOps, CI/CD, Dockers, EKS, ECS , AWS (Must Have)

Certification: Certified Kubernetes Administrator (CKA) (Must Have) 

Responsibilities:
Strong proficiency in AWS services, including EKS, ECS, EC2, S3, and VPC.
In-depth knowledge of containerization technologies, especially Docker and Kubernetes.
Experience with Infrastructure as Code tools such as Terraform or AWS CloudFormation.
Experience with other cloud providers and container orchestration platforms.
Familiarity with microservices architecture.
Familiarity with CI/CD pipelines and version control systems (e.g., Git).
Design, implement, and manage scalable and highly available infrastructure solutions on AWS.
Deploy and manage containerized applications using Kubernetes, Amazon EKS, and Amazon ECS.","AWS CloudFormation
Add,Amazon EC2
Add,Amazon ECS
Add,Amazon S3
Add,Amazon Web Services (AWS)
Add,Continuous Integration and Continuous Delivery (CI/CD)
Add,Docker Products
Add,Git
Add,Kubernetes
Add,Terraform
Add,"
Senior Dotnet Developer,PICWA.io · Philippines 6 days ago · 56 applicants,Remote Full-time,"About the job
🌟 Position: Senior FulL Stack .Net Blazor Developer
🔗 Location: Phillipines- Remote (For an NZ Based Company) 
⏰ Shift Timing : 5:30am Start Time to 2:00pm 

🌐 About Us: PICWA is a cutting-edge technology company that is transforming the digital landscape. We are seeking a skilled and experienced Senior Blazor Developer to play a key role in the development of our innovative projects.

🚀 Key Responsibilities:
Develop and maintain interactive UIs using ASP.NET Core Blazor.
Collaborate with cross-functional teams to integrate server-side and client-side app logic.
Create responsive and visually appealing UIs using HTML and CSS for wide browser support, including mobile browsers.
Build hybrid desktop and mobile applications using .NET and Blazor.

🎯 Requirements:
Minimum 4-5 years of hands-on experience with ASP.NET Core Blazor.
Proficient in C# and .NET development.
Strong expertise in HTML and CSS for crafting visually appealing UIs.
Experience in integrating server-side and client-side app logic.
Knowledge of building hybrid desktop and mobile applications with .NET and Blazor.

🌈 What We Offer:
Competitive salary and benefits package.
Opportunity to work on cutting-edge projects in a collaborative environment.
Professional growth and development opportunities.
Flexible work arrangements, including remote work options.

👩‍💻 How to Apply: If you're excited about the prospect of shaping the future of web development with Blazor, we want to hear from you! Send your resume through Linkedin

Join us in pushing the boundaries of what's possible in the world of web development. Apply now and be a part of our innovative team!",".NET Core
Add,.NET Framework
Add,ASP.NET
Add,ASP.NET Core
Add,Blazor
Add,C#
Add,Cascading Style Sheets (CSS)
Add,HTML
Add,JavaScript
Add,Server Side
Add,"
Azure DevOps Engineer,"Cognizant · Manila, National Capital Region, Philippines 1 week ago · 6 applicants",On-site Full-time Mid-Senior level,"About the job
Cognizant is looking for an experienced Azure DevOps Engineer for our fast-growing business area. An ideal candidate is someone best problem-solvers, idea-makers, and high-energy individual. If you meet our background requirements and looking for an opportunity to be rewarded for your skills and expertise, is the ideal opportunity for you!

Grade: Senior Associate
Experience Level: Minimum 8 years of Experience.

Job Title: Sr. Azure Cloud Automation InfraDev engineer

Overall 8+ years of experience in Cloud Infrastructure implementation and support
Must have 5+ years of hands-on experience in Infrastructure automation across Infra stacks such as Provisioning, Configuration Management, CI/CD, Config/Secret, Observability.
Must be hands-on expert in Ansible, Chef, Terraform, Helm and DevSecOps development & implementation and DevSecOps tools
Must have Azure Cloud implementation and support experience in large enterprise environment
Must have work experience in large enterprise to develop Cloud automation and Infra-as-Code, orchestrating CI/CD pipeline to provision immutable Cloud Infra & workloads
Must be experienced in implementing and integrating Cloud Ops services for Observability and logging
Must be Microsoft certified DevOps Engineer Expert and Red Hat Certified Specialist in Ansible Automation
Good understanding of security-by-design, secured SDLC and Agile delivery methodology
Must have experience in engaging with global senior stakeholders

Primary Skills:

 Cloud
Terraform/Ansible
Scripting – shell/python
Infra automation

About Cognizant
Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build, and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 185 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us https://twitter.com/Cognizant/","Ansible
Add,Azure DevOps Services
Add,Continuous Integration (CI)
Add,Continuous Integration and Continuous Delivery (CI/CD)
Add,DevOps
Add,Helm (Software)
Add,Microsoft Azure
Add,Python (Programming Language)
Add,Red Hat Linux
Add,Terraform
Add,"
Systems Escalation Engineer,"ECI · Taguig, National Capital Region, Philippines Reposted 1 week ago · 55 applicants",On-site Full-time Entry level,"About the job
ECI is the leading global provider of managed services, cybersecurity, and business transformation for mid-market financial services organizations across the globe. From its unmatched range of services, ECI provides stability, security and improved business performance, freeing clients from technology concerns and enabling them to focus on running their businesses. More than 1,000 customers worldwide with over $3 trillion of assets under management put their trust in ECI.

At ECI, we believe success is driven by passion and purpose. Our passion for technology is only surpassed by our commitment to empowering our employees around the world.

The Opportunity: 

ECI has an exciting opportunity for a Systems Escalation Engineer, who is primarily responsible for facilitating high level customer inquiries and improving our services to maintain customer satisfaction and retention of ECI’s Systems Services clients. The POC must also have strong attention to detail, an excellent communicator, ability to work in a process & standards driven framework, enjoy working in a fast-paced/high-volume environment, and exercise time management with precision.

In this role, The Systems Escalation Engineer must possess a strong, generalized IT skillset to diagnose, troubleshoot, and resolve a wide variety of technologies, specifically from alerts that are sourced from Windows Desktop and Server operating systems, network devices and circuits, environment monitors, and 3rd party monitoring systems.

This is an Onsite role.

What you will do:

Linux Systems Administration:
Manage, monitor, and maintain Linux-based servers and systems, ensuring optimal performance, reliability, and security.
Implement and oversee system upgrades, patches, and enhancements to maintain up-to-date and secure environments.
AWS and Azure Cloud Management:
Design, deploy, and manage cloud-based infrastructure on AWS and Azure, including virtual machines, networking, storage, and other cloud services.
Optimize and scale cloud resources to ensure cost-efficiency and high availability.
Security and Compliance:
Implement and enforce security measures and best practices to safeguard Linux servers and cloud environments against potential threats and vulnerabilities.
Ensure compliance with industry standards and regulations related to cloud security.
Monitoring and Troubleshooting:
Utilize monitoring tools (Logic Monitor) to proactively monitor system performance and identify potential issues, taking appropriate actions to resolve them.
Perform root cause analysis and troubleshoot incidents, collaborating with cross-functional teams to implement solutions.
Automation and Scripting:
Develop automation scripts and tools to streamline operational tasks and enhance system efficiency.
Implement Infrastructure as Code (IaC) principles to automate provisioning and configuration of cloud resources.
Documentation and Knowledge Sharing:
Create and maintain detailed documentation, procedures, and configurations for Linux systems and cloud environments.
Share knowledge and provide training to team members to enhance collective expertise in Linux and cloud technologies.

Who you are:

Bachelor’s degree in computer science, Information Technology, or related field.
5+ years of relevant experience.
Proven experience in Linux systems administration, preferably in enterprise-level environments.
Strong proficiency in AWS and Azure cloud services and infrastructure.
Familiarity with virtualization technologies, containerization, and orchestration tools (e.g., Docker, Kubernetes).
Solid understanding of networking concepts, protocols, and security principles.
Excellent problem-solving and analytical skills with a focus on continuous improvement.
Ability to work independently and collaboratively within a team-oriented environment.
Relevant certifications in AWS, Azure, and Linux administration are highly desirable.
If you're passionate about Linux administration and cloud technologies, and you're looking for an exciting opportunity to contribute to a forward-thinking organization, we invite you to apply for this role and make a significant impact on our cloud-based solutions.

Bonus points if you have:

Experience working directly with technical managers as well as technical end users.
Excellent communications and soft skills, including ability to listen to and summarize and concisely share key information with customers.
Must be willing to volunteer for holiday shifts to maintain 24x7x365 coverage.

ECI’s culture is all about connection - connection with our clients, our technology and most importantly with each other. In addition to working with an amazing team around the world, ECI also offers a competitive compensation package and so much more! If you believe you would be a great fit and are ready for your best job ever, we would like to hear from you!

 Love Your Job, Share Your Technology Passion, Create Your Future Here!","Communication
Add,Computer Science
Add,Customer Service
Add,IT Escalation
Add,Linux System Administration
Add,Networking
Add,Problem Solving
Add,Soft Skills
Add,Troubleshooting
Add,"
iOS Developer (Independent Contractor) ·· Remote,"coinpass.com · Manila, National Capital Region, Philippines 2 weeks ago · 78 applicants",Remote Contract Mid-Senior level,"About the job
iOS Developer (Independent Contractor) ·· Remote

This position is fully remote, with preference for independent contractors based in the Philippines, Egypt or Turkey. 
 Who is coinpass.com
OANDA Coinpass is a UK based cryptocurrency exchange servicing retail, business, and institutional clients across a varied number of products and services. We serve the UK and European crypto markets as a GBP and Euro on/off ramp, crypto trading, and investment platform with a global ambition to service users in 100+ countries. Coinpass has just joined OANDA Group.

OANDA Coinpass Ltd (coinpass.com) is registered with the UK Financial Conduct Authority (FCA) as a crypto-asset business. Our mission is to be more than just an exchange. Our vision: to blur the line between crypto and finance into a single digital layer.


What you will be doing:
OANDA Coinpass is a tech savvy start-up company, within this position, you will be able to jump in and make an impact with an existing team instantly. As an iOS Developer you will be working alongside a small technical team consisting of Developers, QA Testers, Head of Product and the CTO.

We are seeking an independent contractor to work alongside an existing team to define, scope, and implement project phases. We have new and existing projects that we have already planned for our mobile app so by completing this work it allows our customers to trade and invest in crypto.

The position will be Monday – Friday, allowing you to spend quality time with your family / friends (We work 40 hours per week)
You will have the opportunities for cross-team collaboration which will enable you to learn new things. Overall, we will help you become a more versatile developer plus open your mind further into the crypto world.

This position will involve planning, design, development, and maintenance of our mobile application. We are looking for a highly motivated iOS Developer with a passion for building iOS applications that focus on the customer experience. You will be a part of the Development team supporting our app available in the Apple Store.

You will be part of a small team developing our iOS app that will be an important component in the next generation of mobile communications for Coinpass. You will interact with other app developers, as well as developers responsible for the web version of the product and the server-side infrastructure that supports the user-facing components, and with our IT Support team.

Duties:
· Minimum React Experience: 3 Years
· Collaborate with cross-functional teams to define, design, and ship new features in a dynamic work environment.
· Champion and drive large-scale, cross-functional initiatives that improve the iOS platform
· You will design, architect, and develop maintainable, testable, functional software that meets requirements.
· Proficient with Objective-C or Swift
· Designs, develops, tests, and deploys software solutions and process flows complying with standards, guidelines, and best practices.
· Understands the “cutting edge” technology, while delivering reliable functionality to the market.
· You will enforce and maintain software coding standards.
· Experienced with iOS frameworks viz. Core Data, Core Animation, Core Graphics and Core Text
· Interacts directly with other developers and stakeholders to conceptualize, build, test, and release products.
· Ensure solid technical plans are in place for projects within iOS via direct review or delegation
· Deep understanding of Apple’s design principles and interface guidelines
· Delivers across the entire app life cycle – concept, design, build, deploy, test, release to the App Store, and support.
· You will develop and utilize tools to enhance the company’s product/process development.
· Will work on fixing bugs and improving application responsiveness, quality and performance.
· Your leadership will help to continuously discover, evaluate, and implement new technologies to improve development efficiency.
· Design and development of professional business applications for the iOS platform.
· Proven ability to mentor junior developers and conduct design and code reviews
· You will hold the team accountable to deliver high quality results with passion, energy and drive to meet business priorities.
· Identifies and resolves problems, often anticipating issues before they occur or before they grow; develops and evaluates options, and implements solutions.
· Familiar working with RESTful APIs, third party libraries and API, cloud message APIs and push notifications
· You will conduct and design research and studies to support advanced product design.
· 3+ years' experience / application in the Apple/Google App Store
· Adopts and implements standards and best practices for software development.
· Keeps up to date on the latest industry trends in iOS technology.
· Demonstrated ability developing with [Objective-C/Swift], [Java/Kotlin], [iOS SDK]/[Android SDK], and [XCode]/[Android Studio].
· Experienced in continuous integration will be plus
· Experience with Apple & Google’s Interface Guidelines
· You will lead code reviews for projects and systems as an independent reviewer, applying design principals, coding standards and best practices.
· Be the technical point of contact for decisions that impact the whole iOS platform and for cross-functional partners like recruiting, business development and legal
· Develops efficient code in various development languages for enhancements and bug fixes.

What we’re looking for:
· 3+ years of mobile development experience
· 3+ years of experience with iOS
· 3+ years of experience with Restful APIs and web sockets
· 3+ years of experience in SwiftUI and Objective C
· Unit Testing on Mobile
· Track record of making technical decisions
· Proven experience of working in fast-paced / early-stage companies

Coinpass provides an equal opportunity employment and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law.

Benefits
· Competitive rates.
· 100% remote.
· Flexible working
· Full Induction to the company via training on our systems with your direct manager.

Additional Information:
Independent Contractors will be required to have a registered legal entity for contracting purpose. Documentations will be asked as part of the pre-contracting requirements prior to contractor onboarding depending on your current location. We recommend preparing your countries hiring requirements early to ensure on time onboarding. Detailed discussion will take place during onboarding process as well as changes on the requirements as needed.","Android SDK
Add,Core Data
Add,Kotlin
Add,Objective-C
Add,REST APIs
Add,Remote Control
Add,SwiftUI
Add,Unit Testing
Add,Xcode
Add,iOS Development
Add,"
