Title,CompanyDetails,JobDetails,JobDescription,JobSkills
Marketing Data Scientist,"Smartly Video and Display · Taguig, National Capital Region, Philippines 1 month ago · 183 applicants",Hybrid Full-time,"About the job
Smartly.io has an exciting opportunity for a Marketing Data Analyst to join our growing Marketing Science Team in the Philippines.

We are looking for a marketing data science expert who enjoys analyzing, visualizing and communicating findings from data. Your role is essential in making sure we can systematically improve optimization, measurement, and data-driven decisions across our customers globally.

You will work with our global team of customer-facing data scientists based in our offices in Helsinki, San Francisco, Germany and Singapore. In this role you will analyze, validate, and test best practices in paid social advertising. You will be working closely together with both product development and commercial colleagues. 

As a Marketing Data Analyst at Smartly.io you will…
Test and verify the performance of solutions with prototypes developed in R, Python, or similar development environments
Build custom advertising trends reports for clients based on Smartly.io’s advertising data 
Build custom models, visualizations, and analyses based on an individual client’s advertising data
Perform performance analyses and vertical research based on scientifically sound analytics
Translate analytic insights into concrete, actionable recommendations for business or product improvement, and communicate these findings
Provide feedback to and collaborate with Product team and Partnerships to identify opportunities for new product features

What we are looking for..
Bachelor’s Degree in Computer Science, Mathematics, Economics, Finance, Marketing Analytics or a related quantitative field or similar knowledge
3+ years experience in marketing measurement or analytics, data science, or growth marketing, or a related quantitative field
Proficiency working with structured and unstructured data-sets, statistical software such as R and/or Python, and SQL
Strong analytical and critical thinking skills as well as familiarity with large data sets and data manipulation
Experience in standard and advanced analytical methods including linear models, non-linear methods, time series, and statistical significance
Written and verbal skills to communicate findings to stakeholders 
High teamwork skills, and drive to get things done 
Ability to work in a fast paced environment, collaborating with technical and non-technical stakeholders","Data Analysis,Analytical Skills
Add,Communication
Add,Linear Models
Add,Marketing
Add,Mathematics
Add,Python (Programming Language)
Add,Statistical Software
Add,Teamwork
Add,Time Series Analysis
Add,"
Lead Data Scientist,"Code Ninja Co. · National Capital Region, Philippines 1 month ago · 50 applicants",Remote Full-time,"About the job
About the Company
Are you a person who is excited about Data Science and Artificial Intelligence (AI)?
Interested in being part of a growing multinational, delivering end-to-end projects in the international space?

Code Ninja houses 3 different US-based tech startups. And our most data-centric startup is gearing up to grow its data science team:

ImportGenius, one of the US-based tech startups is the pioneer company in data analytics for the global import/export industry. Our trade data is used by businesses the world over to gain an advantage over their competitors. The insights we produce using our trade data have been used by analysts and journalists to predict the iPhone launch even before the official announcement, track counterfeit money flowing into Venezuela, and most recently to discover priceless antiques being shipped out of Russia by oligarchs. 

At ImportGenius we are always finding ways to build tools that allow our customers to discover powerful intelligence from global trade data. 

Apply now to join our team as Data Scientist for Import Genius!

About the Job
ImportGenius has access to the real-time complete import and export records of 18 countries. As our new Data Scientist at Import Genius you will manage the process from PoC stage and to design and implement/deploy scalable solutions for our customers, in the area of Natural Language Processing, Predictive Modeling and Decision Support Systems. This includes owning-up the quality of the deliverables, facilitating for a successful project delivery. As a Data Scientist you will ensure the quality throughout the process: building and validating AI models based on structured and unstructured data. You will collaborate closely with Product Managers in conceptualizing viable Data Science solutions for our customers and work together with our Data and Software Engineers in delivering production-grade Data Science solutions. In your capacity as Data Scientist it will also be expected of you to guide your younger colleagues through the project life-cycle.

Throughout customer engagements, you have the opportunity to deep-dive into the customer’s data and translate this to optimal business solutions. You will drive the technical discussions to qualify that the designed and developed solution is addressing the customer's business problem. To succeed in this role, we believe that you will establish and maintain a professional and trusted relationship with the customer, providing continuous guidance during the customer engagement.

Key responsibilities to highlight

Own the delivery process from PoC stage and to design and implement/deploy scalable solutions for our customers, in the area of NLP, Predictive Modeling and Decision Support Systems.
Define and qualify data requirements necessary to implement the Data Science solution
Understand customer business problem and identify the right Data Science solution to address the problem
Define the data requirements necessary to implement the Data Science solution
Conduct Exploratory Data Analysis and develop AI models for addressing concrete business problems
Validate both the technical performance, as well as the business value of the developed AI solutions
Write production-grade Python code for deploying the developed AI models together with our engineering team

We envisage you to be an ambitious and goal-oriented individual with the desire for achievement to reach goals, having the drive and aspiration to become and stay a subject matter expert, and an authority in the area of specialization. To succeed in this role, it will be crucial to demonstrate knowledge transfer by being transparent and proactive, and openly share knowledge, experience and information. You will be part of a cross-functional team, and collaborate closely with Data Scientists, Data/Software Engineers and Solutions Architects.

Desired competency & experience

A Bachelor degree in a relevant field (Data Science, Computer Science, Mathematics, Engineering, Statistics, Physics etc.)
M.Sc. or PhD degree in a relevant field (Data Science, Computer Science, Mathematics, Engineering, Statistics, Physics etc.) is a plus.
At least 5 years of professional experience in analyzing, exploring, building and validating AI models based on structured and unstructured data
Practical experience with developing impactful AI models for specific solutions (e.g. text analytics applications)
Working experience with one or more of the following ML frameworks: scikit-learn, TensorFlow, Keras, pytorch
Fluency in Python, software engineering concepts and best practices
Knowledge SQL, Glue, and in agile methods, such as Spark or similar large-scale data processing frameworks and code versioning tools (git). 
Experience in working with large datasets. You should be comfortable querying and filtering large amounts of data, cleaning up data programmatically, and slicing quick samples of the data.
Experience in building complex reports, queries, and dashboards at scale
Up to date with current trends in AI, Data Science, and Big Data Algorithms. 
While we don’t expect you to be an NLP expert, knowledge in this domain will be beneficial. 
Innovative “out of the box” thinking. This role is central to the company’s competitive advantage in providing unique insights using publicly available data 
A positive “Can do” attitude
High attention to detail 

Practical Information
Location for this job: Manila, Philippines
Language requirements: Professional level English, written & spoken
Application deadline: ASAP. We will evaluate candidates continuously
Visa requirements: Should have a valid work permit/visa for the Philippines. We are looking for someone who is ideally already based in the Philippines and that could start relatively quickly. If you are located outside of the Philippines, please detail in your application when you are planning to move here and when you could start.","Box Cloud
Add,Data Science
Add,Keras
Add,Large-scale Data Processing
Add,Natural Language Processing (NLP)
Add,Predictive Modeling
Add,PyTorch
Add,Scikit-Learn
Add,TensorFlow
Add,Text Analytics
Add,"
Data Scientist,Turing · Philippines 5 days ago · 0 applicants,Remote Full-time Entry level,"About the job
A well-established company that is developing an intuitive financial trading platform while leveraging modern technologies, is looking for a Data Scientist. The selected candidate will be responsible for ensuring effective data storage, processing, and retrieval, design and maintenance of the Azure Data Lake architecture. The company’s innovative platform is enabling investors, traders, and other customers to efficiently grow their finances. This is an amazing opportunity for candidates who are eager to test their skills while working in a demanding environment.

Job Responsibilities:

Leverage data to provide insights on how our marketing, ops and engagement strategies should function in the short, medium and long term 
Analyze data and build ML models to understand behaviors of existing and potential customers 
Use data to identify untapped areas of growth and provide guidance on how to optimize both the product and the engagement/marketing strategies to capture this growth 
Build models from POC to production-ready 
Build customer-facing reporting tools to provide insights and metrics which track business performance. 
Formulating, suggesting, and managing data-driven projects which are geared at furthering the business's interests. 
Document business understanding of data and clean data from various entities for later use. 
Cross-validating models to ensure their generalizability. 

Job Requirements:

At least 8-10+ years of relevant experience as a Data Scientist 
Proficiency in programming languages such as SQL and Python for data manipulation, analysis and model building 
Familiarity with big data frameworks like Spark 
Experience in data mining, data cleaning, predictive modelling using machine learning on cloud platforms. 
Experience in building, fine-tuning and monitoring descriptive/predictive/prescriptive models using various modelling techniques and methodologies such regression, random forest, neural networks etc. 
Experience of delivering models (or POC’s) using Generative AI technology will be preferred. 
Proficiency in using data visualization packages including Matplotlib, Seaborn to create clear and effective data visualization 
Experience working on Azure and databricks platform will be preferred 
Understanding of NLP techniques for text analysis, sentiment analysis and language modelling 
Understanding of time-series forecasting techniques like ARIMA 
Experience in Power BI is preferred 
Knowledge of MLOps is preferred 
Background in the financial industry 
Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)","Data Analytics
Add,Data Cleaning
Add,Data Manipulation
Add,Data Mining
Add,Data Science
Add,Data Visualization
Add,Matplotlib
Add,Natural Language Processing (NLP)
Add,Predictive Modeling
Add,Seaborn
Add,"
Senior Data Scientist (Remote),TE Connectivity · Philippines 2 weeks ago · 51 applicants,Remote Full-time Mid-Senior level,"About the job
As a Senior Data Scientist at TE Connectivity, you will leverage your expertise in quantitative methods, including machine learning, to solve intricate problems and empower stakeholders with data-driven insights. Your role will involve processing vast amounts of data, extracting meaningful patterns, and developing solutions to address pressing business challenges. You will be pivotal in driving TE Connectivity's mission to tackle the world's most daunting problems.

Job Responsibilities: 

Data Analysis & Model Development: Craft machine learning models and products, ensuring their technical robustness and relevance to business users.
Collaboration: Partner with cross-functional teams to discern business requirements and pinpoint opportunities for advanced analytics, especially in demand forecasting.
Solution Deployment: Design, develop, and roll out end-to-end machine learning solutions to address multifaceted business issues.
Tool & Framework Selection: Choose the right tools and frameworks for data science projects, particularly those related to demand forecasting.
Quality Assurance: Guarantee the precision and reliability of data science outputs through meticulous validation, testing, and performance tracking.
Communication: Articulate intricate data science concepts and findings to a varied audience, ensuring clarity for both technical and non-technical stakeholders.
Continuous Learning: Stay updated with the latest in data science, machine learning, and AI. Proactively seek opportunities to incorporate novel techniques in demand forecasting.
Team Culture: Promote a culture of continuous learning, innovation, and collaboration within the team and the broader organization.

Role Specifics:

Engage with internal stakeholders to ensure analytic solutions align with their needs and deliver tangible results.
Translate real-world business challenges into analytical frameworks.
Utilize a diverse skill set, including data mining, machine learning, statistics, visualization, and more.
Collaborate with teams to gather, refine, and harmonize data, ensuring its readiness for analysis.
Simplify complex results, avoiding excessive technical jargon, and employ tools and cloud services like Python, R, SQL, and AWS.

Job Requirements: 

A Bachelor's, Master's or Ph.D. in a relevant field such as Computer Science, Data Science, Engineering, Physics, Statistics or Mathematics.
AWS Cloud Practitioners Certificate or the ability to obtain it during onboarding.
At least 5 years of experience in data science, machine learning, or related fields.
Proficiency in programming (Python or R) and familiarity with essential data analysis tools and libraries.
Demonstrated expertise in machine learning and AI techniques.
Exceptional problem-solving abilities and a knack for innovative solutions.
Stellar communication skills, with a history of conveying complex ideas effectively.
A proven record of delivering data science projects efficiently.","Data Analysis,Artificial Intelligence (AI)
Add,Communication
Add,Data Science
Add,Data-Driven Insights
Add,Machine Learning
Add,Mathematics
Add,Physics
Add,Problem Solving
Add,Python (Programming Language)
Add,"
Marketing Data Scientist,"Smartly.io · Manila, National Capital Region, Philippines Reposted 2 weeks ago · 86 applicants",On-site Full-time,"About the job
Smartly.io has an exciting opportunity for a Marketing Data Analyst to join our growing Marketing Science Team in the Philippines.

We are looking for a marketing data science expert who enjoys analyzing, visualizing and communicating findings from data. Your role is essential in making sure we can systematically improve optimization, measurement, and data-driven decisions across our customers globally.

You will work with our global team of customer-facing data scientists based in our offices in Helsinki, San Francisco, Germany and Singapore. In this role you will analyze, validate, and test best practices in paid social advertising. You will be working closely together with both product development and commercial colleagues.

As a Marketing Data Analyst at Smartly.io you will…

Test and verify the performance of solutions with prototypes developed in R, Python, or similar development environments
Build custom advertising trends reports for clients based on Smartly.io’s advertising data 
Build custom models, visualizations, and analyses based on an individual client’s advertising data
Perform performance analyses and vertical research based on scientifically sound analytics
Translate analytic insights into concrete, actionable recommendations for business or product improvement, and communicate these findings
Provide feedback to and collaborate with Product team and Partnerships to identify opportunities for new product features

What We Are Looking For..

Bachelor’s Degree in Computer Science, Mathematics, Economics, Finance, Marketing Analytics or a related quantitative field or similar knowledge
3+ years experience in marketing measurement or analytics, data science, or growth marketing, or a related quantitative field
Proficiency working with structured and unstructured data-sets, statistical software such as R and/or Python, and SQL
Strong analytical and critical thinking skills as well as familiarity with large data sets and data manipulation
Experience in standard and advanced analytical methods including linear models, non-linear methods, time series, and statistical significance
Written and verbal skills to communicate findings to stakeholders 
High teamwork skills, and drive to get things done 
Ability to work in a fast paced environment, collaborating with technical and non-technical stakeholders

Meet Smartly.io

Smartly.io is one of the world’s largest SaaS digital advertising platforms. We help brands better reach audiences, engage creatives and learn what performs best across the largest media platforms, including Facebook, Instagram, Snap, Pinterest, TikTok, and Google.

We manage nearly $5B in ad spend and help 700+ brands worldwide. Our leading end-to-end technology and outstanding customer helps brands like Walmart, FanDuel, L’Oreal, Warner Bros. Discovery, Nestle, and Disney/ESPN to better reach audiences, engage creatives and learn what performs best.

We offer growth-minded people opportunities to make an impact in a fast-paced, collaborative and inclusive environment built on a culture of trust, transparency, and feedback. You’ll work with a team of 600+ Smartlies, representing 60+ nationalities. We operate in 13 countries across 24 locations.

At Smartly.io, you can enjoy the freedom to harmonize work and personal life. As a global, hybrid organization, we are mindful to collaborate in ways that allow everyone, everywhere to be productive and feel included.

Join our global team to change the future of digital marketing!

Learn more at smartly.io/careers.","Analytical Skills
Add,Communication
Add,Computer Science
Add,Critical Thinking
Add,Data Manipulation
Add,Data Science
Add,Linear Models
Add,Non-linear Editing
Add,Statistical Software
Add,Thinking Skills
Add,"
"Lead Data Scientist (Bangkok based, relocation provided)","Agoda · Manila, National Capital Region, Philippines Reposted 1 week ago · 22 applicants",Hybrid Full-time Mid-Senior level,"About the job
About Agoda

Agoda is an online travel booking platform for accommodations, flights, and more. We build and deploy cutting-edge technology that connects travelers with more than 3.6 million accommodations globally. Based in Asia and part of Booking Holdings, our 6,000+ employees representing 90+ nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enhancing the ability for our customers to experience the world.

Get to Know Our Team

The Data department , based in Bangkok , oversees all of Agoda’s data-related requirements. Our ultimate goal is to enable and increase the use of data in the company through creative approaches and the implementation of powerful resources such as operational and analytical databases, queue systems, BI tools, and data science technology. We hire the brightest minds from around the world to take on this challenge and equip them with the knowledge and tools that contribute to their personal growth and success while supporting our company’s culture of diversity and experimentation. The role the Data team plays at Agoda is critical as business users, product managers, engineers, and many others rely on us to empower their decision making. We are equally dedicated to our customers by improving their search experience with faster results and protecting them from any fraudulent activities. Data is interesting only when you have enough of it, and we have plenty. This is what drives up the challenge as part of the Data department, but also the reward.

The Opportunity

Please note -The role will be based in Bangkok. 

We are looking for ambitious and agile data scientists that would like to seize the opportunity to work on some of the most challenging productive machine learning and big data platforms worldwide, processing some 600B events every day and making some 5B predictions.

As part of the Data Science and Machine Learning (AI/ML) team you will be exposed to real-world challenges such as: dynamic pricing, predicting customer intents in real time, ranking search results to maximize lifetime value, classifying and deep learning content and personalization signals from unstructured data such as images and text, making personalized recommendations, innovating algorithm-supported promotions and products for supply partners, discovering insights from big data, and innovating the user experience. To tackle these challenges, you will have the opportunity to work on one of the world’s largest ML infrastructure employing dozens of GPUs working in parallel, 30K+ CPU cores and 150TB of memory.

In This Role, You’ll Get to

Design, code, experiment and implement models and algorithms to maximize customer experience, supply side value, business outcomes, and infrastructure readiness
Mine a big data of hundreds of millions of customers and more than 600M daily user generated events, supplier and pricing data, and discover actionable insights to drive improvements and innovation
Work with developers and a variety of business owners to deliver daily results with the best quality
Research discover and harness new ideas that can make a difference

What You’ll Need To Succeed

4+ years hands-on data science experience
Excellent understanding of AI/ML/DL and Statistics, as well as coding proficiency using related open source libraries and frameworks
Significant proficiency in SQL and languages like Python, PySpark and/or Scala
Can lead, work independently as well as play a key role in a team
Good communication and interpersonal skills for working in a multicultural work environment

It’s Great if You Have

PhD or MSc in Computer Science / Operations Research / Statistics or other quantitative fields
Experience in NLP, image processing and/or recommendation systems
Hands on experience in data engineering, working with big data framework like Spark/Hadoop
Experience in data science for e-commerce and/or OTA

We welcome both local and international applications for this role. Full visa sponsorship and relocation assistance available for eligible candidates.

#sanfrancisco #sanjose #losangeles #sandiego #oakland #denver #miami #orlando #atlanta #chicago #boston #detroit #newyork #portland #philadelphia #dallas #houston #austin #seattle #sydney #melbourne #perth #toronto #vancouver #montreal #shanghai #beijing #shenzhen #prague #Brno #Ostrava #cairo #alexandria #giza #estonia #paris #berlin #munich #hamburg #stuttgart #cologne #frankfurt #hongkong #budapest #jakarta #bali #dublin #telaviv #milan #rome #venice #florence #naples #turin #palermo #bologna #tokyo #osaka #kualalumpur #malta #amsterdam #oslo #manila #warsaw #krakow #doha #alrayyan #riyadh #jeddah #mecca #medina #singapore #seoul #barcelona #madrid #stockholm #zurich #taipei #tainan #taichung #kaohsiung #bangkok #Phuket #istanbul #london #manchester #edinburgh #hcmc #hanoi #lodz #wroclaw #poznan #katowice #rio #salvador #newdelhi #bangalore #bandung #yokohama #nagoya #okinawa #fukuoka #jerusalem #IT #4

Equal Opportunity Employer 

At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.

We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .

To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.","Apache Spark
Add,Big Data
Add,Computer Vision
Add,Data Engineering
Add,Data Science
Add,Natural Language Processing (NLP)
Add,Pattern Recognition
Add,PySpark
Add,Recommender Systems
Add,Scala
Add,"
"Senior Data Scientist - Merchant Risk, Fraud, Payments","Xendit · Manila, National Capital Region, Philippines 3 weeks ago · 10 applicants",Hybrid Full-time Mid-Senior level,"About the job
About the Job

The Senior Data Scientist will play a crucial role by leading the development and implementation of risk scoring models across the merchant lifecycle and enhancing the effectiveness and accuracy of our risk detection by developing data science components that can be embedded in multiple risk solutions. You will be the subject matter expert for all Risk teams and partners on all analytical topics such as scoring, modeling, experiment design, hypothesis validation, etc.

The role requires strong model development and data analytics skills as well as the ability to explain the scientific concepts, approach and applications to non-technical audiences. Demonstrated experience with developing risk scoring models at entity and transaction level, experience with cards, strong understanding of various modeling techniques and algorithms, and comfort with dealing with large datasets and prospecting for data in an unstructured environment are a must.

You will collaborate closely with multiple teams within Risk and across Xendit such as Portfolio Monitoring, Risk Operations, Product, Engineering, Data Management, etc. and will interact with multiple senior leaders and their orgs. You will be responsible for developing the cutting edge risk detection and mitigation capabilities using data science and enabling Xendit to assume a proactive posture in managing fraud and credit risk.

Responsibilities
Lead the risk scoring and risk data science at Xendit
Develop and implement models for risk scoring of merchants and transaction
Develop data science tools and components for other Risk teams to enhance the accuracy and effectiveness of our risk rules and strategies
Partner with other Risk teams on designing and implementing strategies, analyze emerging fraud trends, design experiments, evaluate emerging technologies, etc.
Balance business and risk needs by partnering with stakeholders on creative methods to enable business growth while keeping risk and losses in check
Educate the Risk and other teams on data science concepts which they can leverage in their own work
Do whatever it takes to make Xendit successful

Minimum Qualifications
8+ years of experience in risk modeling in financial services, payments or technology companies
Degree in a quantitative field such as statistics, mathematics, engineering, etc.
Strong understanding of fraud and credit risk concepts and experience with developing risk scoring solutions
Experience with Cards and payment transaction risk scoring
Solid data analysis skills and willingness to do hands-on analysis and data pulls
Excellent communication and ability to explain complex technical concepts to non-technical audience
Demonstrated experience of application of multiple modeling techniques to risk management and understanding of latest data science tools and developments

Preferred Qualifications
Demonstrated experience in hands-on building risk solutions from scratch
Experience working in an unstructured environment with uneven data availability and reliability","Data Analysis,Algorithms
Add,Data Modeling
Add,Data Science
Add,Fraud Detection
Add,Fraud Prevention
Add,Mathematics
Add,Payment Cards
Add,Payments
Add,Risk Modeling
Add,"
Data Scientist,"Smart Communications, Inc. · Makati, National Capital Region, Philippines 2 weeks ago · 66 applicants",On-site Full-time Associate,"About the job
Education
Bachelor’s degree holder of any quantitative discipline such as Mathematics, Statistics, Computer Science, or other related courses

Qualifications
At least 2 years of analytics work 
Machine learning 
R or Python scripts for data wrangling and analysis
Querying skills, such as SQL/Hive
Data visualization (PowerBI, Tableau, ggplot, matplotlib, d3, etc.)
Predictive modeling techniques
Big data infrastructure and open-source stack

Duties And Responsibilities
Scope and analyze business problems by creating lines of analysis and appropriate metrics from various kinds of data sources
Synthesize, profile, and analyze large and complex datasets that meet functional/non-functional business requirements
Generate and share actionable insights to business partners and stakeholders
Clearly communicate data processing, transformation, modeling, and findings via written communication, slides, and crisp graphs/figures
Design, test, measure and iterate models against the business need, and align with business on the acceptable output and operationalization; Able to own end to end execution
Able to automate model to generate outputs on regular basis
Work with IT/business partners to operationalize successful models","D3.js
Add,Data Science
Add,Data Wrangling
Add,Hive
Add,Machine Learning
Add,Matplotlib
Add,Predictive Modeling
Add,Python (Programming Language)
Add,R (Programming Language)
Add,Statistics
Add,"
Data Scientist (Analytics) - Country & Marketing Analytics,"Grab · Pasig, National Capital Region, Philippines 6 days ago · 39 applicants",On-site Full-time Entry level,"About the job
Job Description

Life at Grab

At Grab, every Grabber is guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles - the 4Hs: Heart, Hunger, Honour and Humility. These principles guide and help us make decisions as we work to create economic empowerment for the people of Southeast Asia

Get to know our Team

Grab - the leading super app in Southeast Asia - combines transport, food delivery, logistics, payments, and much more in a single platform. The Country & Marketing Analytics team helps the organization by analyzing in each of our countries our past operations and marketing initiatives, deciphering the impact on our business, our brand and our users, to augment the outcome of future initiatives.

Get to know the Role

The team works closely with various teams in Grab - Business, Operations, Marketing but also Engineering, Product and other Data teams, to understand data requirements, identify and track key metrics, and provide data-driven solutions that are tailored and relevant to always-evolving innovation in our markets.

The Day-to-Day Activities

Be involved into the business to understand all aspects of our marketplace and marketing in countries.
Conduct in-depth analysis and provide insights based on business needs.
Develop data-driven solutions such as reports, toolkits, dashboards, models and analytical frameworks to help further stakeholders decisions.
Support a broad range of projects related to automation, scalable measurement and Analytics efficiency.
Shape the development of our data infrastructure including data warehousing, optimization and maintenance of our analytics platforms.
Provide support and training to stakeholder teams on analytical insights, tools and methodologies.

The Must-Haves

Some Analytics experience and a strong business acumen, preferably in the e-commerce or internet industry.
Bachelor’s degree in Statistics, Analytics, Mathematics, Engineering or other quantitative subjects.
Advanced knowledge of analytical tools such as database querying (SQL, Presto, Hive), visualization and reporting tools (Tableau, PowerBI, Holistics) and programming languages (Python, R).
Strong ability to work with large and complex data sets.
Fast-learner, versatile, self-driven, detail-oriented and collaborative.
Excellent communication skills to translate analytics specificities for all audiences.
Full professional working proficiency in English is required.

Our Commitment

We are committed to building diverse teams and creating an inclusive workplace that enables all Grabbers to perform at their best, regardless of nationality, ethnicity, religion, age, gender identity or sexual orientation and other attributes that make each Grabber unique.","Analytics
Add,Communication
Add,Data Science
Add,English
Add,Hive
Add,Natural Language Processing (NLP)
Add,Optimization
Add,Predictive Analytics
Add,Presto
Add,R (Programming Language)
Add,"
Senior Data Scientist,"General Motors · Taguig, National Capital Region, Philippines 2 weeks ago · 26 applicants",Hybrid Full-time,"About the job
Job Description

Job Description

The Digital Solutions Team within Global Business Solutions is passionate about enabling digital solutions that empower our business partners to derive immediate value from innovative tools and technology. Our objective is to connect the business to underlying data assets & tools for analytics, predictive modeling, and automation to generate business value and efficiency. Develop customer centric solutions for our strategic partners based on need, complexity, and process maturity. And upskill our workforce to leverage the latest digital tools to drive efficiencies in their daily activities. And collaborate with our global service centers to scale our impact.

Responsibilities

You build predictive models and machine-learning algorithms
You analyze large amounts of information to discover trends and patterns
Undertake preprocessing of structured and unstructured data
Monitor and sustain model effectiveness
Combine models through ensemble modeling
Present complex information using data visualization techniques
Propose solutions and strategies to business challenges that drive business impact
You will ‘tell the story’ & generate ongoing, actionable insights that enables strategic and operational decisions. Educate the Business on things that they do not know.
Digital Upskilling - On the job digital upskilling for self and leverage expertise to train the community


Qualifications And Experience

Master’s degree in Data Science, Mathematics, Statistics, Computer Science, Engineering, or other quantitative field
7 or more years proficiency in most of the following:
R or Python and understand their limitations
Two or more analytical methodologies such as numerical optimization, statistical process/tools , econometric modeling/forecasting, machine learning and text analytics
Data Integrations with expertise using SQL or KNIME
Business Intelligence/Reporting with experience using Power BI
Communication skills with the ability to distill complex subjects to a wider audience
Excellent collaboration and project management skills

Additional Job Description

Shift: Night (8:00 PM to 5:00 AM)

About GM

Our vision is a world with Zero Crashes, Zero Emissions and Zero Congestion and we embrace the responsibility to lead the change that will make our world better, safer and more equitable for all.

Why Join Us

We aspire to be the most inclusive company in the world. We believe we all must make a choice every day – individually and collectively – to drive meaningful change through our words, our deeds and our culture. Our Work Appropriately philosophy supports our foundation of inclusion and provides employees the flexibility to work where they can have the greatest impact on achieving our goals, dependent on role needs. Every day, we want every employee, no matter their background, ethnicity, preferences, or location, to feel they belong to one General Motors team.

Diversity Information

General Motors is committed to being a workplace that is not only free of discrimination, but one that genuinely fosters inclusion and belonging. We strongly believe that workforce diversity creates an environment in which our employees can thrive and develop better products for our customers. We understand and embrace the variety through which people gain experiences whether through professional, personal, educational, or volunteer opportunities.

We encourage interested candidates to review the key responsibilities and qualifications and apply for any positions that match your skills and capabilities.","Analytics
Add,Communication
Add,Computer Science
Add,Data Analytics
Add,Data Mining
Add,Data Science
Add,Data Visualization
Add,Optimization
Add,Predictive Analytics
Add,Unstructured Data
Add,"
